latitude,longitude,confidence,lat_km,long_km,distance,power,count,country,coor
21.7184,103.2481,74,2462,11494,587.0689908349784,23.452,1,Vietnam,"(11494, 2462)"
21.7207,100.4566,65,2462,11183,381.9960732782472,7.2,1,China,"(11183, 2462)"
21.7194,100.4471,84,2462,11182,381.5678183495039,23.7,1,China,"(11182, 2462)"
21.5083,103.446,67,2437,11516,591.1082811126909,22.451,1,Vietnam,"(11516, 2437)"
20.5056,99.2511,67,2318,11049,203.2264746532793,6.3,1,Myanmar,"(11049, 2318)"
20.4817,99.9707,54,2315,11129,226.503863101714,5.0,1,Myanmar,"(11129, 2315)"
20.2766,99.6382,51,2291,11092,188.692872149427,4.4,1,Thailand,"(11092, 2291)"
20.2719,100.0466,26,2290,11137,209.41107898103195,7.2,1,Thailand,"(11137, 2290)"
19.8207,99.5441,52,2237,11081,135.07035203922436,7.0,1,Thailand,"(11081, 2237)"
18.0098,95.7601,54,2025,10660,370.600863463646,29.952,1,Myanmar,"(10660, 2025)"
19.6465,100.1144,70,2217,11145,160.86018774078315,5.6,1,Thailand,"(11145, 2217)"
19.4929,99.7591,75,2199,11105,118.82760622010359,10.0,1,Thailand,"(11105, 2199)"
19.4862,100.1529,77,2198,11149,153.16984037335808,14.6,1,Thailand,"(11149, 2198)"
19.4772,100.1543,27,2197,11149,152.64337522473747,8.0,1,Thailand,"(11149, 2197)"
19.2806,100.0059,71,2174,11133,127.45587471748802,5.8,1,Thailand,"(11133, 2174)"
18.9176,100.359,74,2131,11172,153.63918770938616,16.7,1,Thailand,"(11172, 2131)"
18.9106,96.3812,73,2131,10729,290.33773437154184,15.287999999999998,1,Myanmar,"(10729, 2131)"
18.8921,100.8302,66,2128,11224,205.2949098248663,5.1,1,Thailand,"(11224, 2128)"
18.5382,100.7383,74,2087,11214,197.29419656948858,9.1,1,Thailand,"(11214, 2087)"
19.7749,96.2817,58,2232,10718,322.2204214509068,19.656,1,Myanmar,"(10718, 2232)"
25.2832,101.5543,59,2892,11305,826.0877677341555,6.468000000000001,1,China,"(11305, 2892)"
24.096999999999998,105.0029,93,2748,11689,920.3591690204428,414.18000000000006,1,China,"(11689, 2748)"
24.9459,99.5692,11,2851,11084,736.8724448641028,3.2,1,China,"(11084, 2851)"
24.7263,99.1237,61,2824,11034,707.1591051524401,4.1,1,China,"(11034, 2824)"
24.2483,101.5697,70,2766,11307,710.0316894336478,11.737,1,China,"(11307, 2766)"
23.7761,94.1583,69,2709,10482,799.2702922040828,33.592,1,Myanmar,"(10482, 2709)"
25.2818,101.54299999999999,65,2892,11304,825.7420904858853,7.139000000000001,1,China,"(11304, 2892)"
23.1121,94.0033,65,2629,10464,755.0953582164308,29.835,1,Myanmar,"(10464, 2629)"
22.6456,99.2576,66,2573,11049,456.9857765839108,7.5,1,Myanmar,"(11049, 2573)"
22.3675,102.6515,53,2539,11427,586.982112163565,8.316,1,Vietnam,"(11427, 2539)"
22.3509,96.8985,58,2537,10787,479.81663164171374,8.976,1,Myanmar,"(10787, 2537)"
21.8924,100.0441,49,2483,11137,384.5516870330957,5.0,1,China,"(11137, 2483)"
23.7732,94.1426,32,2709,10480,800.6153883107669,24.97300000000001,1,Myanmar,"(10480, 2709)"
26.5697,101.6637,79,3051,11317,980.3876784211436,21.91200000000001,1,China,"(11317, 3051)"
